AGENCY_ID,OFFENSE_TYPE_ID,UCR_AGENCY_NAME,COUNTY_NAME,OFFENSE_NAME,INCIDENT_COUNT,COUNTY_CODE
18757,3,ANDREWS,['ANDREWS'],Statutory Rape,1,[2]
18766,3,ROCKPORT,['ARANSAS'],Statutory Rape,2,[4]
18796,3,KILLEEN,['BELL'],Statutory Rape,2,[14]
18798,3,TEMPLE,['BELL'],Statutory Rape,1,[14]
18873,3,COLLEGE STATION,['BRAZOS'],Statutory Rape,1,[21]
18883,3,BROWNWOOD,['BROWN'],Statutory Rape,1,[25]
18885,3,BURLESON,['BURLESON'],Statutory Rape,1,[26]
18888,3,BURNET,['BURNET'],Statutory Rape,1,[27]
18896,3,LOCKHART,['CALDWELL'],Statutory Rape,1,[28]
18907,3,BROWNSVILLE,['CAMERON'],Statutory Rape,1,[31]
18926,3,PITTSBURG,['CAMP'],Statutory Rape,1,[32]
18938,3,CHAMBERS,['CHAMBERS'],Statutory Rape,3,[36]
18961,3,FRISCO,"['DENTON', ' COLLIN']",Statutory Rape,2,"[61, 43]"
18963,3,PLANO,"['DENTON', ' COLLIN']",Statutory Rape,2,"[61, 43]"
18979,3,NEW BRAUNFELS,"['GUADALUPE', ' COMAL']",Statutory Rape,1,"[94, 46]"
18993,3,GATESVILLE,['CORYELL'],Statutory Rape,1,[50]
19010,3,BALCH SPRINGS,['DALLAS'],Statutory Rape,1,[57]
19011,3,CARROLLTON,"['COLLIN', ' DALLAS', ' DENTON']",Statutory Rape,1,"[43, 57, 61]"
19022,3,IRVING,['DALLAS'],Statutory Rape,3,[57]
19025,3,MESQUITE,"['KAUFMAN', ' DALLAS']",Statutory Rape,3,"[129, 57]"
19109,3,EL PASO,['EL PASO'],Statutory Rape,1,[71]
19146,3,STAFFORD,"['HARRIS', ' FORT BEND']",Statutory Rape,1,"[101, 79]"
19154,3,FREESTONE,['FREESTONE'],Statutory Rape,3,[81]
19208,3,KILGORE,"['RUSK', ' GREGG']",Statutory Rape,2,"[201, 92]"
19225,3,HAMILTON,['HAMILTON'],Statutory Rape,1,[97]
19238,3,HARRIS,['HARRIS'],Statutory Rape,1,[101]
19308,3,HIDALGO,['HIDALGO'],Statutory Rape,1,[108]
19347,3,HOPKINS,['HOPKINS'],Statutory Rape,4,[112]
19417,3,BOERNE,['KENDALL'],Statutory Rape,1,[130]
19489,3,BELLMEAD,['MCLENNAN'],Statutory Rape,1,[155]
19530,3,CAMERON,['MILAM'],Statutory Rape,1,[166]
19563,3,NACOGDOCHES,['NACOGDOCHES'],Statutory Rape,1,[174]
19594,3,PARKER,['PARKER'],Statutory Rape,1,[184]
19595,3,WEATHERFORD,['PARKER'],Statutory Rape,1,[184]
19598,3,WILLOW PARK,['PARKER'],Statutory Rape,1,[184]
19605,3,POLK,['POLK'],Statutory Rape,1,[187]
19638,3,ROYSE CITY,"['HUNT', ' COLLIN', ' ROCKWALL']",Statutory Rape,1,"[116, 43, 199]"
19678,3,TYLER,['SMITH'],Statutory Rape,6,[212]
19695,3,SUTTON,['SUTTON'],Statutory Rape,1,[218]
19711,3,FORT WORTH,"['PARKER', ' DENTON', ' TARRANT']",Statutory Rape,5,"[184, 61, 220]"
19718,3,MANSFIELD,"['ELLIS', ' JOHNSON', ' TARRANT']",Statutory Rape,1,"[70, 126, 220]"
19752,3,SAN ANGELO,['TOM GREEN'],Statutory Rape,3,[226]
19794,3,WALKER,['WALKER'],Statutory Rape,2,[236]
19802,3,WARD,['WARD'],Statutory Rape,1,[238]
19807,3,WEBB,['WEBB'],Statutory Rape,1,[240]
19808,3,LAREDO,['WEBB'],Statutory Rape,1,[240]
19831,3,WILLIAMSON,['WILLIAMSON'],Statutory Rape,1,[246]
19836,3,ROUND ROCK,"['TRAVIS', ' WILLIAMSON']",Statutory Rape,2,"[227, 246]"
19837,3,TAYLOR,['WILLIAMSON'],Statutory Rape,1,[246]
19839,3,CEDAR PARK,"['TRAVIS', ' WILLIAMSON']",Statutory Rape,1,"[227, 246]"
18757,36,ANDREWS,['ANDREWS'],Rape,2,[2]
18761,36,LUFKIN,['ANGELINA'],Rape,9,[3]
18789,36,SEYMOUR,['BAYLOR'],Rape,2,[12]
18792,36,BELL,['BELL'],Rape,1,[14]
18796,36,KILLEEN,['BELL'],Rape,5,[14]
18798,36,TEMPLE,['BELL'],Rape,5,[14]
18806,36,BEXAR,['BEXAR'],Rape,2,[15]
18849,36,HOOKS,['BOWIE'],Rape,2,[19]
18851,36,ALVIN,['BRAZORIA'],Rape,3,[20]
18858,36,PEARLAND,"['FORT BEND', ' HARRIS', ' BRAZORIA']",Rape,2,"[79, 101, 20]"
18872,36,BRYAN,['BRAZOS'],Rape,1,[21]
18873,36,COLLEGE STATION,['BRAZOS'],Rape,4,[21]
18883,36,BROWNWOOD,['BROWN'],Rape,3,[25]
18888,36,BURNET,['BURNET'],Rape,1,[27]
18890,36,MARBLE FALLS,['BURNET'],Rape,1,[27]
18895,36,CALDWELL,['CALDWELL'],Rape,1,[28]
18899,36,CALHOUN,['CALHOUN'],Rape,4,[29]
18901,36,PORT LAVACA,['CALHOUN'],Rape,2,[29]
18907,36,BROWNSVILLE,['CAMERON'],Rape,6,[31]
18909,36,HARLINGEN,['CAMERON'],Rape,11,[31]
18912,36,PORT ISABEL,['CAMERON'],Rape,1,[31]
18918,36,SOUTH PADRE ISLAND,['CAMERON'],Rape,3,[31]
18925,36,CAMP,['CAMP'],Rape,1,[32]
18926,36,PITTSBURG,['CAMP'],Rape,1,[32]
18929,36,CASS,['CASS'],Rape,2,[34]
18939,36,MONT BELVIEU,['CHAMBERS'],Rape,1,[36]
18941,36,CHEROKEE,['CHEROKEE'],Rape,2,[37]
18957,36,COLLIN,['COLLIN'],Rape,15,[43]
18959,36,CELINA,['COLLIN'],Rape,1,[43]
18960,36,FARMERSVILLE,['COLLIN'],Rape,1,[43]
18961,36,FRISCO,"['DENTON', ' COLLIN']",Rape,2,"[61, 43]"
18962,36,MCKINNEY,['COLLIN'],Rape,10,[43]
18963,36,PLANO,"['DENTON', ' COLLIN']",Rape,9,"[61, 43]"
18965,36,WYLIE,"['DALLAS', ' ROCKWALL', ' COLLIN']",Rape,5,"[57, 199, 43]"
18966,36,PRINCETON,['COLLIN'],Rape,1,[43]
18979,36,NEW BRAUNFELS,"['GUADALUPE', ' COMAL']",Rape,1,"[94, 46]"
18988,36,GAINESVILLE,['COOKE'],Rape,2,[49]
19007,36,DALHART,"['HARTLEY', ' DALLAM']",Rape,1,"[103, 56]"
19010,36,BALCH SPRINGS,['DALLAS'],Rape,2,[57]
19011,36,CARROLLTON,"['COLLIN', ' DALLAS', ' DENTON']",Rape,1,"[43, 57, 61]"
19012,36,CEDAR HILL,"['ELLIS', ' DALLAS']",Rape,4,"[70, 57]"
19014,36,COPPELL,"['DENTON', ' DALLAS']",Rape,1,"[61, 57]"
19015,36,DESOTO,['DALLAS'],Rape,1,[57]
19016,36,DUNCANVILLE,['DALLAS'],Rape,1,[57]
19017,36,FARMERS BRANCH,['DALLAS'],Rape,2,[57]
19018,36,GARLAND,"['COLLIN', ' DALLAS']",Rape,19,"[43, 57]"
19019,36,GRAND PRAIRIE,"['ELLIS', ' TARRANT', ' DALLAS']",Rape,6,"[70, 220, 57]"
19021,36,HUTCHINS,['DALLAS'],Rape,1,[57]
19022,36,IRVING,['DALLAS'],Rape,9,[57]
19024,36,LANCASTER,['DALLAS'],Rape,2,[57]
19025,36,MESQUITE,"['KAUFMAN', ' DALLAS']",Rape,21,"[129, 57]"
19026,36,RICHARDSON,"['COLLIN', ' DALLAS']",Rape,1,"[43, 57]"
19028,36,SEAGOVILLE,"['KAUFMAN', ' DALLAS']",Rape,1,"[129, 57]"
19034,36,ROWLETT,"['ROCKWALL', ' DALLAS']",Rape,2,"[199, 57]"
19039,36,GLENN HEIGHTS,"['ELLIS', ' DALLAS']",Rape,1,"[70, 57]"
19054,36,DENTON,['DENTON'],Rape,13,[61]
19056,36,LEWISVILLE,"['DALLAS', ' DENTON']",Rape,5,"[57, 61]"
19064,36,THE COLONY,['DENTON'],Rape,2,[61]
19075,36,CUERO,['DEWITT'],Rape,1,[62]
19081,36,DONLEY,['DONLEY'],Rape,1,[65]
19087,36,EASTLAND,['EASTLAND'],Rape,2,[67]
19094,36,ODESSA,"['MIDLAND', ' ECTOR']",Rape,1,"[165, 68]"
19102,36,MIDLOTHIAN,['ELLIS'],Rape,1,[70]
19107,36,EL PASO,['EL PASO'],Rape,4,[71]
19109,36,EL PASO,['EL PASO'],Rape,27,[71]
19120,36,STEPHENVILLE,['ERATH'],Rape,2,[72]
19121,36,TARLETON STATE UNIVERSIT,['ERATH'],Rape,1,[72]
19137,36,FLOYD,['FLOYD'],Rape,1,[77]
19142,36,FORT BEND,['FORT BEND'],Rape,17,[79]
19143,36,MISSOURI CITY,"['HARRIS', ' FORT BEND']",Rape,1,"[101, 79]"
19147,36,SUGAR LAND,['FORT BEND'],Rape,2,[79]
19164,36,GALVESTON,['GALVESTON'],Rape,10,[84]
19165,36,DICKINSON,['GALVESTON'],Rape,4,[84]
19166,36,FRIENDSWOOD,"['HARRIS', ' GALVESTON']",Rape,1,"[101, 84]"
19167,36,GALVESTON,['GALVESTON'],Rape,5,[84]
19169,36,KEMAH,['GALVESTON'],Rape,1,[84]
19171,36,LEAGUE CITY,"['HARRIS', ' GALVESTON']",Rape,2,"[101, 84]"
19172,36,TEXAS CITY,['GALVESTON'],Rape,2,[84]
19192,36,PAMPA,['GRAY'],Rape,2,[90]
19197,36,SHERMAN,['GRAYSON'],Rape,1,[91]
19201,36,HOWE,['GRAYSON'],Rape,1,[91]
19208,36,KILGORE,"['RUSK', ' GREGG']",Rape,1,"[201, 92]"
19209,36,LONGVIEW,"['HARRISON', ' GREGG']",Rape,2,"[102, 92]"
19212,36,NAVASOTA,['GRIMES'],Rape,1,[93]
19216,36,SEGUIN,['GUADALUPE'],Rape,1,[94]
19238,36,HARRIS,['HARRIS'],Rape,23,[101]
19239,36,BAYTOWN,"['CHAMBERS', ' HARRIS']",Rape,2,"[36, 101]"
19247,36,LA PORTE,['HARRIS'],Rape,1,[101]
19248,36,PASADENA,['HARRIS'],Rape,5,[101]
19284,36,MARSHALL,['HARRISON'],Rape,2,[102]
19292,36,SAN MARCOS,"['CALDWELL', ' HAYS']",Rape,6,"[28, 105]"
19294,36,KYLE,['HAYS'],Rape,1,[105]
19308,36,HIDALGO,['HIDALGO'],Rape,7,[108]
19309,36,ALAMO,['HIDALGO'],Rape,2,[108]
19310,36,DONNA,['HIDALGO'],Rape,8,[108]
19317,36,MERCEDES,['HIDALGO'],Rape,2,[108]
19324,36,PALMVIEW,['HIDALGO'],Rape,1,[108]
19325,36,ALTON,['HIDALGO'],Rape,2,[108]
19333,36,HILLSBORO,['HILL'],Rape,1,[109]
19339,36,LEVELLAND,['HOCKLEY'],Rape,3,[110]
19347,36,HOPKINS,['HOPKINS'],Rape,7,[112]
19349,36,SULPHUR SPRINGS,['HOPKINS'],Rape,2,[112]
19354,36,BIG SPRING,['HOWARD'],Rape,1,[114]
19359,36,GREENVILLE,['HUNT'],Rape,1,[116]
19368,36,BORGER,['HUTCHINSON'],Rape,1,[117]
19373,36,JACKSON,['JACKSON'],Rape,1,[120]
19384,36,NEDERLAND,['JEFFERSON'],Rape,1,[123]
19386,36,PORT ARTHUR,"['ORANGE', ' JEFFERSON']",Rape,2,"[181, 123]"
19394,36,JOHNSON,['JOHNSON'],Rape,2,[126]
19409,36,KAUFMAN,['KAUFMAN'],Rape,10,[129]
19411,36,KAUFMAN,['KAUFMAN'],Rape,1,[129]
19413,36,TERRELL,['KAUFMAN'],Rape,1,[129]
19416,36,KENDALL,['KENDALL'],Rape,3,[130]
19417,36,BOERNE,['KENDALL'],Rape,2,[130]
19421,36,KERRVILLE,['KERR'],Rape,5,[133]
19435,36,PARIS,['LAMAR'],Rape,5,[139]
19444,36,LAMPASAS,['LAMPASAS'],Rape,1,[141]
19453,36,GIDDINGS,['LEE'],Rape,1,[144]
19456,36,LIBERTY,['LIBERTY'],Rape,2,[146]
19463,36,MEXIA,['LIMESTONE'],Rape,1,[147]
19474,36,LUBBOCK,['LUBBOCK'],Rape,3,[152]
19487,36,BRADY,['MCCULLOCH'],Rape,1,[154]
19488,36,MCLENNAN,['MCLENNAN'],Rape,3,[155]
19489,36,BELLMEAD,['MCLENNAN'],Rape,3,[155]
19492,36,LACY-LAKEVIEW,['MCLENNAN'],Rape,4,[155]
19497,36,ROBINSON,['MCLENNAN'],Rape,1,[155]
19498,36,WACO,['MCLENNAN'],Rape,16,[155]
19520,36,MEDINA,['MEDINA'],Rape,2,[163]
19529,36,MILAM,['MILAM'],Rape,1,[166]
19541,36,CONROE,['MONTGOMERY'],Rape,1,[170]
19551,36,ISD: CONROE,['MONTGOMERY'],Rape,3,[170]
19557,36,DAINGERFIELD,['MORRIS'],Rape,1,[172]
19562,36,NACOGDOCHES,['NACOGDOCHES'],Rape,7,[174]
19563,36,NACOGDOCHES,['NACOGDOCHES'],Rape,3,[174]
19565,36,NAVARRO,['NAVARRO'],Rape,1,[175]
19566,36,CORSICANA,['NAVARRO'],Rape,7,[175]
19568,36,NEWTON,['NEWTON'],Rape,1,[176]
19574,36,CORPUS CHRISTI,['NUECES'],Rape,6,[178]
19591,36,MINERAL WELLS,"['PARKER', ' PALO PINTO']",Rape,2,"[184, 182]"
19598,36,WILLOW PARK,['PARKER'],Rape,1,[184]
19605,36,POLK,['POLK'],Rape,8,[187]
19606,36,LIVINGSTON,['POLK'],Rape,1,[187]
19610,36,AMARILLO,"['RANDALL', ' POTTER']",Rape,20,"[191, 188]"
19619,36,CANYON,['RANDALL'],Rape,1,[191]
19637,36,ROCKWALL,['ROCKWALL'],Rape,5,[199]
19639,36,HEATH,['ROCKWALL'],Rape,1,[199]
19644,36,RUSK,['RUSK'],Rape,8,[201]
19658,36,SINTON,['SAN PATRICIO'],Rape,1,[205]
19670,36,SHELBY,['SHELBY'],Rape,2,[210]
19678,36,TYLER,['SMITH'],Rape,6,[212]
19701,36,ARLINGTON,['TARRANT'],Rape,4,[220]
19703,36,BEDFORD,['TARRANT'],Rape,2,[220]
19708,36,EULESS,['TARRANT'],Rape,1,[220]
19709,36,EVERMAN,['TARRANT'],Rape,1,[220]
19711,36,FORT WORTH,"['PARKER', ' DENTON', ' TARRANT']",Rape,83,"[184, 61, 220]"
19712,36,GRAPEVINE,['TARRANT'],Rape,6,[220]
19714,36,HURST,['TARRANT'],Rape,3,[220]
19718,36,MANSFIELD,"['ELLIS', ' JOHNSON', ' TARRANT']",Rape,3,"[70, 126, 220]"
19724,36,WATAUGA,['TARRANT'],Rape,2,[220]
19735,36,COLLEYVILLE,['TARRANT'],Rape,1,[220]
19750,36,MOUNT PLEASANT,['TITUS'],Rape,3,[225]
19752,36,SAN ANGELO,['TOM GREEN'],Rape,9,[226]
19753,36,ANGELO STATE UNIVERSITY,['TOM GREEN'],Rape,2,[226]
19755,36,TRAVIS,['TRAVIS'],Rape,3,[227]
19756,36,AUSTIN,"['WILLIAMSON', ' TRAVIS']",Rape,60,"[246, 227]"
19762,36,LAKEWAY,['TRAVIS'],Rape,3,[227]
19792,36,VICTORIA,['VICTORIA'],Rape,2,[235]
19794,36,WALKER,['WALKER'],Rape,2,[236]
19795,36,HUNTSVILLE,['WALKER'],Rape,2,[236]
19808,36,LAREDO,['WEBB'],Rape,15,[240]
19813,36,WHARTON,['WHARTON'],Rape,1,[241]
19822,36,WICHITA FALLS,['WICHITA'],Rape,1,[243]
19826,36,WILLACY,['WILLACY'],Rape,1,[245]
19828,36,RAYMONDVILLE,['WILLACY'],Rape,1,[245]
19831,36,WILLIAMSON,['WILLIAMSON'],Rape,1,[246]
19833,36,GEORGETOWN,['WILLIAMSON'],Rape,5,[246]
19836,36,ROUND ROCK,"['TRAVIS', ' WILLIAMSON']",Rape,2,"[227, 246]"
19843,36,WILSON,['WILSON'],Rape,1,[247]
19848,36,WINKLER,['WINKLER'],Rape,1,[248]
19853,36,DECATUR,['WISE'],Rape,1,[249]
19866,36,ZAVALA,['ZAVALA'],Rape,1,[254]
19869,36,DALLAS,"['DENTON', ' COLLIN', ' DALLAS']",Rape,56,"[61, 43, 57]"
19870,36,HOUSTON,"['MONTGOMERY', ' FORT BEND', ' HARRIS']",Rape,112,"[170, 79, 101]"
19871,36,SAN ANTONIO,"['MEDINA', ' BEXAR']",Rape,1,"[163, 15]"
27352,36,FATE,['ROCKWALL'],Rape,1,[199]
27733,36,LIBERTY HILL,['WILLIAMSON'],Rape,1,[246]
28679,36,ISD: TERRELL,['KAUFMAN'],Rape,1,[129]
30114,36,FRANKLIN,['ROBERTSON'],Rape,3,[198]
18757,56,ANDREWS,['ANDREWS'],Fondling,2,[2]
18766,56,ROCKPORT,['ARANSAS'],Fondling,1,[4]
18773,56,PLEASANTON,['ATASCOSA'],Fondling,2,[7]
18792,56,BELL,['BELL'],Fondling,3,[14]
18795,56,HARKER HEIGHTS,['BELL'],Fondling,1,[14]
18796,56,KILLEEN,['BELL'],Fondling,2,[14]
18798,56,TEMPLE,['BELL'],Fondling,5,[14]
18818,56,UNIVERSAL CITY,['BEXAR'],Fondling,1,[15]
18822,56,UNIV OF TX: SAN ANTONIO,['BEXAR'],Fondling,1,[15]
18858,56,PEARLAND,"['FORT BEND', ' HARRIS', ' BRAZORIA']",Fondling,4,"[79, 101, 20]"
18889,56,BURNET,['BURNET'],Fondling,1,[27]
18895,56,CALDWELL,['CALDWELL'],Fondling,1,[28]
18899,56,CALHOUN,['CALHOUN'],Fondling,2,[29]
18907,56,BROWNSVILLE,['CAMERON'],Fondling,14,[31]
18909,56,HARLINGEN,['CAMERON'],Fondling,5,[31]
18925,56,CAMP,['CAMP'],Fondling,2,[32]
18938,56,CHAMBERS,['CHAMBERS'],Fondling,1,[36]
18941,56,CHEROKEE,['CHEROKEE'],Fondling,4,[37]
18960,56,FARMERSVILLE,['COLLIN'],Fondling,1,[43]
18961,56,FRISCO,"['DENTON', ' COLLIN']",Fondling,2,"[61, 43]"
18962,56,MCKINNEY,['COLLIN'],Fondling,7,[43]
18963,56,PLANO,"['DENTON', ' COLLIN']",Fondling,9,"[61, 43]"
18965,56,WYLIE,"['DALLAS', ' ROCKWALL', ' COLLIN']",Fondling,1,"[57, 199, 43]"
18979,56,NEW BRAUNFELS,"['GUADALUPE', ' COMAL']",Fondling,1,"[94, 46]"
18993,56,GATESVILLE,['CORYELL'],Fondling,2,[50]
19012,56,CEDAR HILL,"['ELLIS', ' DALLAS']",Fondling,2,"[70, 57]"
19016,56,DUNCANVILLE,['DALLAS'],Fondling,1,[57]
19018,56,GARLAND,"['COLLIN', ' DALLAS']",Fondling,7,"[43, 57]"
19019,56,GRAND PRAIRIE,"['ELLIS', ' TARRANT', ' DALLAS']",Fondling,5,"[70, 220, 57]"
19022,56,IRVING,['DALLAS'],Fondling,1,[57]
19025,56,MESQUITE,"['KAUFMAN', ' DALLAS']",Fondling,11,"[129, 57]"
19026,56,RICHARDSON,"['COLLIN', ' DALLAS']",Fondling,4,"[43, 57]"
19027,56,SACHSE,"['COLLIN', ' DALLAS']",Fondling,1,"[43, 57]"
19034,56,ROWLETT,"['ROCKWALL', ' DALLAS']",Fondling,4,"[199, 57]"
19054,56,DENTON,['DENTON'],Fondling,4,[61]
19055,56,LAKE DALLAS,['DENTON'],Fondling,1,[61]
19056,56,LEWISVILLE,"['DALLAS', ' DENTON']",Fondling,4,"[57, 61]"
19062,56,LITTLE ELM,['DENTON'],Fondling,2,[61]
19064,56,THE COLONY,['DENTON'],Fondling,1,[61]
19066,56,CORINTH,['DENTON'],Fondling,1,[61]
19074,56,DEWITT,['DEWITT'],Fondling,1,[62]
19089,56,EASTLAND,['EASTLAND'],Fondling,3,[67]
19107,56,EL PASO,['EL PASO'],Fondling,1,[71]
19109,56,EL PASO,['EL PASO'],Fondling,4,[71]
19142,56,FORT BEND,['FORT BEND'],Fondling,5,[79]
19167,56,GALVESTON,['GALVESTON'],Fondling,3,[84]
19171,56,LEAGUE CITY,"['HARRIS', ' GALVESTON']",Fondling,2,"[101, 84]"
19177,56,SANTA FE,['GALVESTON'],Fondling,1,[84]
19192,56,PAMPA,['GRAY'],Fondling,1,[90]
19209,56,LONGVIEW,"['HARRISON', ' GREGG']",Fondling,4,"[102, 92]"
19217,56,CIBOLO,['GUADALUPE'],Fondling,1,[94]
19233,56,HARDIN,['HARDIN'],Fondling,2,[100]
19238,56,HARRIS,['HARRIS'],Fondling,1,[101]
19247,56,LA PORTE,['HARRIS'],Fondling,1,[101]
19248,56,PASADENA,['HARRIS'],Fondling,2,[101]
19250,56,SOUTH HOUSTON,['HARRIS'],Fondling,1,[101]
19278,56,ISD: PASADENA,['HARRIS'],Fondling,1,[101]
19292,56,SAN MARCOS,"['CALDWELL', ' HAYS']",Fondling,4,"[28, 105]"
19308,56,HIDALGO,['HIDALGO'],Fondling,1,[108]
19317,56,MERCEDES,['HIDALGO'],Fondling,3,[108]
19347,56,HOPKINS,['HOPKINS'],Fondling,4,[112]
19349,56,SULPHUR SPRINGS,['HOPKINS'],Fondling,5,[112]
19353,56,HOWARD,['HOWARD'],Fondling,2,[114]
19356,56,HUNT,['HUNT'],Fondling,1,[116]
19371,56,JACK,['JACK'],Fondling,1,[119]
19386,56,PORT ARTHUR,"['ORANGE', ' JEFFERSON']",Fondling,1,"[181, 123]"
19394,56,JOHNSON,['JOHNSON'],Fondling,2,[126]
19409,56,KAUFMAN,['KAUFMAN'],Fondling,2,[129]
19410,56,FORNEY,['KAUFMAN'],Fondling,1,[129]
19413,56,TERRELL,['KAUFMAN'],Fondling,2,[129]
19417,56,BOERNE,['KENDALL'],Fondling,1,[130]
19421,56,KERRVILLE,['KERR'],Fondling,1,[133]
19435,56,PARIS,['LAMAR'],Fondling,1,[139]
19437,56,"RENO, LAMAR COUNTY",['LAMAR'],Fondling,1,[139]
19444,56,LAMPASAS,['LAMPASAS'],Fondling,1,[141]
19453,56,GIDDINGS,['LEE'],Fondling,1,[144]
19462,56,GROESBECK,['LIMESTONE'],Fondling,3,[147]
19463,56,MEXIA,['LIMESTONE'],Fondling,1,[147]
19488,56,MCLENNAN,['MCLENNAN'],Fondling,4,[155]
19489,56,BELLMEAD,['MCLENNAN'],Fondling,2,[155]
19491,56,HEWITT,['MCLENNAN'],Fondling,2,[155]
19540,56,MONTGOMERY,['MONTGOMERY'],Fondling,1,[170]
19552,56,MOORE,['MOORE'],Fondling,1,[171]
19562,56,NACOGDOCHES,['NACOGDOCHES'],Fondling,2,[174]
19566,56,CORSICANA,['NAVARRO'],Fondling,1,[175]
19574,56,CORPUS CHRISTI,['NUECES'],Fondling,14,[178]
19595,56,WEATHERFORD,['PARKER'],Fondling,1,[184]
19605,56,POLK,['POLK'],Fondling,3,[187]
19606,56,LIVINGSTON,['POLK'],Fondling,1,[187]
19610,56,AMARILLO,"['RANDALL', ' POTTER']",Fondling,9,"[191, 188]"
19636,56,ROCKWALL,['ROCKWALL'],Fondling,1,[199]
19638,56,ROYSE CITY,"['HUNT', ' COLLIN', ' ROCKWALL']",Fondling,1,"[116, 43, 199]"
19644,56,RUSK,['RUSK'],Fondling,1,[201]
19670,56,SHELBY,['SHELBY'],Fondling,2,[210]
19678,56,TYLER,['SMITH'],Fondling,1,[212]
19689,56,ROMA,['STARR'],Fondling,1,[214]
19701,56,ARLINGTON,['TARRANT'],Fondling,5,[220]
19703,56,BEDFORD,['TARRANT'],Fondling,1,[220]
19706,56,CROWLEY,"['JOHNSON', ' TARRANT']",Fondling,1,"[126, 220]"
19711,56,FORT WORTH,"['PARKER', ' DENTON', ' TARRANT']",Fondling,18,"[184, 61, 220]"
19712,56,GRAPEVINE,['TARRANT'],Fondling,3,[220]
19714,56,HURST,['TARRANT'],Fondling,1,[220]
19717,56,LAKE WORTH,['TARRANT'],Fondling,1,[220]
19718,56,MANSFIELD,"['ELLIS', ' JOHNSON', ' TARRANT']",Fondling,1,"[70, 126, 220]"
19735,56,COLLEYVILLE,['TARRANT'],Fondling,3,[220]
19749,56,TITUS,['TITUS'],Fondling,1,[225]
